"date","lfalls","seneca","goose","mon_jug","por","shen_mill","antietam","opequon","conoco","hanc","cacapon","sideling","paw","town","sbr","patterson","nbp_cumb","wills","luke","barnum","bloomington","kitzmiller","barton","jrr_level","sav_level","edwards_level","bennett","unity","cattail","hawlings","cedar"
"2019-11-15 00:00:00",3170,74.8,49.1,312,2880,787,158,90.1,195,886,106,5.03,742,12.2,257,20.3,294,50.8,238,170,58.2,83.3,7.41,1427.65,1429.9,3.38,23.9,15.3,15.6,16.3,13.5
"2019-11-15 01:00:00",3170,78.9,49.1,312,2930,779,158,87.6,195,886,106,5.03,742,12.2,257,20.3,294,50.8,238,170,58.2,85.1,7.41,1427.76,1429.89,3.37,23.9,15.3,15.1,16.3,12.9
"2019-11-15 02:00:00",3230,81.1,49.1,309,2950,779,158,87.6,195,877,106,5.03,736,12.2,257,20.3,294,50.8,238,170,58.2,85.1,7.82,1427.69,1429.87,3.37,25.1,15.3,15.1,15.6,12.9
"2019-11-15 03:00:00",3170,78.9,49.1,309,2950,795,158,87.6,195,877,106,5.03,742,12.2,257,20.3,294,50.8,238,170,57.3,86.9,7.41,1427.62,1429.85,3.38,25.1,15.3,15.1,14.8,12.9
"2019-11-15 04:00:00",3170,76.8,47.6,309,2930,811,156,87.6,195,868,106,5.03,736,12.2,257,20.3,294,49.6,235,170,57.3,88.8,7.01,1427.74,1429.84,3.38,25.1,15.3,15.1,14.8,12.3
"2019-11-15 05:00:00",3170,72.8,47.6,305,2930,827,156,86.3,195,868,104,5.03,736,11.6,261,20.3,294,49.6,238,170,57.3,88.8,7.01,1427.63,1429.82,3.38,25.1,15.3,15.1,14.8,12.3
"2019-11-15 06:00:00",3120,70.8,47.6,305,2900,861,156,85.1,195,868,104,5.03,736,11.6,261,20.3,294,49.6,238,170,57.3,90.6,7.01,1427.62,1429.79,3.39,25.1,15.3,15.1,14.1,12.3
"2019-11-15 07:00:00",3170,66.8,47.6,305,2880,895,156,83.8,195,859,104,5.03,736,11.6,261,20.3,294,49.6,238,170,57.3,90.6,6.63,1427.63,1429.78,3.4,23.9,15.3,15.1,14.1,12.3
"2019-11-15 08:00:00",3120,64.9,47.6,302,2830,1150,156,85.1,195,859,104,5.03,736,11.6,261,20.3,294,49.6,238,170,57.3,88.8,6.63,1427.68,1429.77,3.41,23.9,15.3,15.1,14.1,12.3
"2019-11-15 09:00:00",3060,63,47.6,302,2780,1090,156,85.1,197,850,104,5.03,742,11.6,257,20.3,294,48.5,238,170,57.3,88.8,6.63,1427.7,1429.75,3.42,23.9,15.3,15.1,14.1,12.3
"2019-11-15 10:00:00",3010,61.2,47.6,302,2710,1060,156,87.6,197,850,104,5.03,742,11.6,257,20.3,294,48.5,238,170,57.3,88.8,6.63,1427.48,1429.74,3.43,23.9,15.8,15.1,14.1,12.3
"2019-11-15 11:00:00",2960,63,47.6,302,NA,1050,156,88.8,195,850,104,5.03,736,11.6,257,20.3,294,48.5,238,170,57.3,86.9,6.63,1427.58,1429.71,3.44,23.9,15.8,15.1,13.4,12.3
"2019-11-15 12:00:00",2960,68.8,47.6,302,2610,1040,156,87.6,195,850,104,5.03,736,11.6,253,20.3,294,48.5,238,170,57.3,86.9,6.63,1427.52,1429.69,3.45,23.9,16.4,15.1,13.4,12.3
"2019-11-15 13:00:00",2960,74.8,47.6,302,2560,1030,153,87.6,195,850,104,5.03,736,11.6,253,20.3,294,48.5,238,170,57.3,85.1,6.63,1427.5,1429.68,3.46,23.9,16.4,15.1,13.4,12.3
"2019-11-15 14:00:00",2960,81.1,47.6,302,2540,1010,153,87.6,195,850,104,5.03,736,11.6,253,20.3,294,49.6,241,170,57.3,85.1,6.63,1427.5,1429.65,3.46,23.9,15.8,15.1,13.4,12.3
"2019-11-15 15:00:00",2900,78.9,47.6,302,NA,985,153,88.8,192,850,104,5.03,736,11.6,253,20.3,294,49.6,241,170,58.2,83.3,6.63,1427.5,1429.64,3.46,23.9,15.8,15.1,13.4,12.3
"2019-11-15 16:00:00",2900,76.8,47.6,302,2540,966,153,90.1,195,841,104,5.03,729,11.6,253,20.3,294,50.8,238,170,58.2,83.3,6.63,1427.52,1429.62,3.45,23.9,15.3,15.1,13.4,12.3
"2019-11-15 17:00:00",2960,76.8,47.6,302,2560,939,153,88.8,192,841,104,5.03,729,11.6,253,20.3,294,50.8,241,170,58.2,83.3,6.63,1427.53,1429.6,3.45,23.9,15.3,15.1,13.4,11.8
"2019-11-15 18:00:00",2960,74.8,47.6,302,2610,779,153,87.6,192,841,104,5.03,729,11.6,253,20.3,294,52,238,170,57.3,81.5,6.63,1427.48,1429.59,3.44,23.9,15.3,15.1,14.1,11.8
"2019-11-15 19:00:00",2960,72.8,47.6,302,2660,732,153,86.3,192,841,104,5.03,729,11.6,253,20.3,294,52,238,167,58.2,81.5,6.63,1427.41,1429.57,3.43,23.9,15.3,15.1,14.1,11.8
"2019-11-15 20:00:00",3010,74.8,47.6,302,2660,795,153,87.6,189,841,104,5.03,729,11.6,253,20.3,294,52,238,170,57.3,81.5,6.63,1427.45,1429.55,3.42,23.9,14.7,15.1,14.1,11.8
"2019-11-15 21:00:00",3060,72.8,47.6,302,2680,811,153,90.1,189,841,104,5.03,729,11.6,253,20.3,294,52,238,167,57.3,81.5,6.63,1427.43,1429.53,3.41,23.9,14.7,15.1,14.1,11.8
"2019-11-15 22:00:00",3060,70.8,47.6,298,2710,803,153,91.4,189,841,104,5.03,729,11.6,253,20.3,294,50.8,238,167,57.3,81.5,6.63,1427.38,1429.52,3.39,23.9,14.7,15.1,14.1,11.8
"2019-11-15 23:00:00",3060,74.8,47.6,298,2730,795,156,92.7,187,841,104,5.03,723,11.6,249,20.3,301,50.8,238,170,57.3,81.5,6.63,1427.37,1429.5,3.38,23.9,14.7,15.1,14.1,11.8
"2019-11-16 00:00:00",3120,74.8,47.6,298,2780,795,153,90.1,187,841,104,4.78,729,11.6,249,20.3,301,50.8,238,170,57.3,81.5,6.63,1427.39,1429.48,3.37,23.9,14.7,15.1,14.1,11.8
"2019-11-16 01:00:00",3120,76.8,47.6,295,2800,795,153,88.8,187,841,101,5.03,729,11.6,249,19.1,294,50.8,238,170,57.3,81.5,7.01,1427.38,1429.46,3.37,23.9,14.7,15.1,14.1,11.8
"2019-11-16 02:00:00",3120,78.9,47.6,298,2830,803,153,87.6,187,841,101,4.78,729,11.6,249,16.3,294,50.8,238,170,57.3,79.8,7.01,1427.41,1429.44,3.36,23.9,14.7,15.1,14.1,11.8
"2019-11-16 03:00:00",3120,76.8,47.6,295,2830,803,153,87.6,184,841,101,4.78,729,11.6,249,15.7,294,50.8,238,170,57.3,79.8,6.63,1427.35,1429.43,3.36,23.9,14.7,15.1,14.1,12.3
