"date","lfalls","seneca","goose","mon_jug","por","shen_mill","antietam","opequon","conoco","hanc","cacapon","sideling","paw","town","sbr","patterson","nbp_cumb","wills","luke","barnum","bloomington","kitzmiller","barton","jrr_level","sav_level","edwards_level","bennett","unity","cattail","hawlings","cedar"
"2019-11-05 00:00:00",9050,120,93.3,642,7240,2000,193,117,398,2050,259,18.1,1490,26.8,640,47.2,362,82.3,241,173,59.2,108,14.8,1430.21,1433.73,5.28,35.7,20.6,19.9,17.9,35.7
"2019-11-05 01:00:00",9050,120,93.3,631,7060,1990,193,117,398,2030,259,18.1,1470,26,634,46.1,362,82.3,244,173,59.2,108,14.1,1430.13,1433.71,5.26,35.7,19.8,19.9,17.9,34.6
"2019-11-05 02:00:00",8960,117,91,631,6920,2000,193,115,398,2010,255,17.5,1450,26,627,46.1,362,82.3,241,173,59.2,108,14.1,1430.15,1433.7,5.24,35.7,19.8,19.9,17.9,33.5
"2019-11-05 03:00:00",8870,120,91,620,6850,2010,193,115,398,1990,251,17.5,1440,26,621,45.1,362,82.3,241,173,59.2,106,14.1,1430.15,1433.69,5.23,35.7,19.8,19.9,17.9,33.5
"2019-11-05 04:00:00",8780,111,91,615,6710,2040,190,115,389,1970,251,17.5,1440,26,615,45.1,362,80.6,244,170,59.2,106,14.1,1430.25,1433.67,5.21,35.7,19.8,19.4,17.9,32.5
"2019-11-05 05:00:00",8780,108,91,609,6610,2060,190,114,389,1950,247,17.5,1420,25.2,608,45.1,362,80.6,241,173,59.2,106,14.1,1430.14,1433.67,5.19,35.7,19.8,19.4,17.1,32.5
"2019-11-05 06:00:00",8680,104,88.6,604,6470,2060,188,114,385,1940,247,17,1410,25.2,602,44,355,80.6,241,173,59.2,106,14.1,1430.1,1433.65,5.17,34.2,19.8,19.4,17.1,31.4
"2019-11-05 07:00:00",8680,104,86.4,599,6340,2360,188,114,380,1910,244,16.4,1400,25.2,596,44,355,80.6,241,173,59.2,106,13.5,1430.1,1433.64,5.14,34.2,19.8,19.4,17.1,31.4
"2019-11-05 08:00:00",8680,99.5,86.4,594,6240,2400,188,114,380,1900,240,16.4,1390,25.2,590,43,355,79,241,173,59.2,104,13.5,1430.09,1433.63,5.11,34.2,19.8,19.4,17.1,30.4
"2019-11-05 09:00:00",8590,97.4,86.4,589,6130,2090,188,114,376,1870,240,16.4,1380,25.2,590,43,355,79,244,173,59.2,104,13.5,1430.11,1433.61,5.08,34.2,20.6,19.4,17.1,30.4
"2019-11-05 10:00:00",8500,95.3,86.4,584,6100,1970,188,114,372,1860,236,16.4,1380,24.4,578,43,355,79,241,173,59.2,104,13.5,1430.03,1433.6,5.05,34.2,20.6,19,17.1,29.4
"2019-11-05 11:00:00",8410,97.4,84.2,579,6000,1880,188,114,372,1830,232,15.9,1370,24.4,578,43,355,79,244,173,59.2,102,13.5,1430.06,1433.6,5.01,34.2,20.6,19.4,16.3,30.4
"2019-11-05 12:00:00",8320,104,84.2,574,5970,1780,185,114,372,1820,232,15.9,1360,24.4,572,42,355,77.4,244,170,59.2,102,13.5,1430.07,1433.57,4.98,34.2,19.8,19,16.3,31.4
"2019-11-05 13:00:00",8320,114,84.2,574,5970,1700,185,114,372,1810,229,15.9,1350,23.6,566,42,355,77.4,244,176,59.2,102,13.5,1430.04,1433.57,4.96,34.2,20.6,19,16.3,32.5
"2019-11-05 14:00:00",8320,108,82,569,6030,1650,185,112,376,1780,229,15.4,1340,23.6,560,42,355,77.4,241,173,59.2,100,12.9,1430.08,1433.55,4.92,34.2,19.8,19,16.3,32.5
"2019-11-05 15:00:00",8230,106,82,564,6000,1620,182,112,372,1770,225,15.4,1330,23.6,554,41,355,75.8,241,173,59.2,100,12.9,1430.1,1433.53,4.89,34.2,19.8,19,16.3,32.5
"2019-11-05 16:00:00",8140,106,82,554,5930,1580,182,111,367,1760,221,15.4,1320,22.9,554,41,348,75.8,241,170,59.2,100,12.9,1430.03,1433.52,4.86,34.2,19.1,19,16.3,31.4
"2019-11-05 17:00:00",8060,104,82,549,5830,1560,182,111,363,1750,221,15.4,1310,22.9,554,41,348,74.2,241,173,59.2,100,12.9,1430.11,1433.51,4.83,34.2,19.8,19,16.3,29.4
"2019-11-05 18:00:00",7880,102,82,549,5770,1070,182,111,359,1730,218,14.8,1300,22.9,548,40,348,75.8,241,173,59.2,100,12.9,1430.07,1433.49,4.8,34.2,19.1,19,16.3,29.4
"2019-11-05 19:00:00",7710,99.5,82,549,5700,1300,182,111,355,1710,218,14.3,1290,22.9,542,40,348,75.8,241,173,59.2,100,12.9,1430.01,1433.48,4.79,34.2,19.1,19,16.3,28.4
"2019-11-05 20:00:00",7620,102,82,544,5700,1500,182,111,351,1700,214,14.3,1270,22.9,536,40,348,74.2,244,173,59.2,100,12.9,1430.01,1433.47,4.77,34.2,19.1,19,16.3,27.5
"2019-11-05 21:00:00",7540,99.5,82,539,5700,1590,185,111,343,1690,211,14.3,1260,22.9,536,39,348,74.2,241,173,59.2,100,12.9,1430.03,1433.46,4.76,34.2,19.1,19,16.3,27.5
"2019-11-05 22:00:00",7450,97.4,82,534,5670,1640,185,111,339,1680,211,14.3,1260,22.1,530,39,348,74.2,241,173,59.2,100,12.9,1429.99,1433.44,4.74,34.2,19.1,19,16.3,27.5
"2019-11-05 23:00:00",7370,99.5,79.8,534,5640,1680,185,111,334,1660,207,13.9,1250,22.1,525,39,348,74.2,241,173,59.2,100,12.9,1429.97,1433.43,4.72,32.8,19.8,18.5,16.3,27.5
"2019-11-06 00:00:00",7200,102,79.8,529,5570,1710,185,109,334,1650,204,13.4,1240,22.1,525,38.1,348,72.7,241,173,59.2,100,12.9,1429.95,1433.42,4.71,32.8,19.1,18.5,16.3,27.5
"2019-11-06 01:00:00",7120,104,77.7,529,5410,1750,185,109,334,1630,204,13.9,1240,22.1,519,38.1,341,72.7,244,170,59.2,100,12.9,1429.93,1433.4,4.69,32.8,19.1,18.5,16.3,26.5
"2019-11-06 02:00:00",7030,106,77.7,524,5250,1800,185,109,330,1620,200,13.4,1230,22.1,519,38.1,341,72.7,241,173,59.2,98.2,12.3,1429.94,1433.38,4.68,32.8,19.1,18.5,15.6,26.5
"2019-11-06 03:00:00",6950,104,77.7,524,5180,1830,182,108,330,1610,197,13.9,1220,21.4,513,38.1,341,71.1,241,173,59.2,98.2,12.3,1429.95,1433.37,4.66,32.8,19.1,18.5,16.3,25.6
"2019-11-06 04:00:00",6870,99.5,77.7,519,5150,1860,182,106,330,1590,197,13.4,1210,21.4,508,37.1,341,72.7,241,173,59.2,98.2,12.3,1429.9,1433.36,4.65,32.8,18.5,18.5,17.1,25.6
"2019-11-06 05:00:00",6790,95.3,77.7,515,5180,1850,182,106,326,1580,193,13.4,1200,21.4,508,37.1,341,71.1,241,173,59.2,98.2,12.3,1429.95,1433.34,4.63,32.8,18.5,18.5,17.1,25.6
"2019-11-06 06:00:00",6790,93.3,77.7,515,5180,1830,182,106,326,1570,193,12.9,1200,21.4,502,37.1,341,71.1,241,173,59.2,98.2,11.7,1430.01,1433.33,4.61,31.4,18.5,18.5,16.3,25.6
"2019-11-06 07:00:00",6630,89.3,75.6,515,5150,1810,179,106,323,1560,190,12.9,1190,21.4,502,36.2,341,71.1,241,173,59.2,98.2,11.7,1429.9,1433.32,4.59,31.4,18.5,18.5,16.3,24.7
"2019-11-06 08:00:00",6630,87.3,75.6,515,5120,2000,179,106,319,1550,190,12.9,1190,21.4,497,36.2,341,71.1,241,173,59.2,98.2,11.7,1429.91,1433.31,4.56,31.4,18.5,18,16.3,24.7
"2019-11-06 09:00:00",6550,87.3,75.6,510,5090,1800,179,105,319,1540,187,12.9,1180,20.6,491,36.2,334,69.6,241,173,59.2,98.2,11.7,1429.87,1433.29,4.54,31.4,18.5,18,16.3,24.7
"2019-11-06 10:00:00",6470,85.4,73.6,510,5120,1700,179,105,315,1530,187,12.9,1180,20.6,491,36.2,334,69.6,241,173,59.2,98.2,11.7,1429.86,1433.27,4.52,31.4,19.1,18,15.6,23.8
"2019-11-06 11:00:00",6470,89.3,73.6,505,5060,1630,179,105,315,1510,184,12.5,1170,20.6,486,35.3,334,69.6,241,170,59.2,96.4,11.7,1429.88,1433.26,4.5,31.4,19.8,18,15.6,24.7
"2019-11-06 12:00:00",6470,95.3,73.6,505,5030,1560,177,104,311,1500,184,12.5,1170,20.6,480,35.3,334,69.6,241,170,59.2,96.4,11.7,1429.96,1433.24,4.49,31.4,19.1,18,15.6,25.6
