date,site,flow
2019-11-27 00:00:00,lfalls,3860
2019-11-27 01:00:00,lfalls,3920
2019-11-27 02:00:00,lfalls,3860
2019-11-27 03:00:00,lfalls,3800
2019-11-27 04:00:00,lfalls,3740
2019-11-27 05:00:00,lfalls,3680
2019-11-27 06:00:00,lfalls,3680
2019-11-27 07:00:00,lfalls,3680
2019-11-27 08:00:00,lfalls,3570
2019-11-27 09:00:00,lfalls,3570
2019-11-27 10:00:00,lfalls,3570
2019-11-27 11:00:00,lfalls,3510
2019-11-27 12:00:00,lfalls,3450
2019-11-27 13:00:00,lfalls,3510
2019-11-27 14:00:00,lfalls,3450
2019-11-27 15:00:00,lfalls,3450
2019-11-27 16:00:00,lfalls,3450
2019-11-27 17:00:00,lfalls,3450
2019-11-27 18:00:00,lfalls,3400
2019-11-27 19:00:00,lfalls,3400
2019-11-27 20:00:00,lfalls,3450
2019-11-27 21:00:00,lfalls,3400
2019-11-27 22:00:00,lfalls,3400
2019-11-27 23:00:00,lfalls,3400
2019-11-28 00:00:00,lfalls,3400
2019-11-28 01:00:00,lfalls,5150
2019-11-28 02:00:00,lfalls,3340
2019-11-28 03:00:00,lfalls,NA
2019-11-28 04:00:00,lfalls,NA
2019-11-28 05:00:00,lfalls,NA
2019-11-28 06:00:00,lfalls,NA
2019-11-28 07:00:00,lfalls,3120
2019-11-28 08:00:00,lfalls,3680
2019-11-28 09:00:00,lfalls,3450
2019-11-28 10:00:00,lfalls,3560
2019-11-28 11:00:00,lfalls,3380
2019-11-28 12:00:00,lfalls,3330
2019-11-28 13:00:00,lfalls,3160
2019-11-28 14:00:00,lfalls,3210
2019-11-28 15:00:00,lfalls,3320
2019-11-28 16:00:00,lfalls,3260
2019-11-28 17:00:00,lfalls,3420
2019-11-28 18:00:00,lfalls,3360
2019-11-28 19:00:00,lfalls,3360
2019-11-28 20:00:00,lfalls,3420
2019-11-28 21:00:00,lfalls,3410
2019-11-28 22:00:00,lfalls,3300
2019-11-28 23:00:00,lfalls,3350
2019-11-29 00:00:00,lfalls,3520
2019-11-29 01:00:00,lfalls,3460
2019-11-29 02:00:00,lfalls,3400
2019-11-29 03:00:00,lfalls,3230
2019-11-29 04:00:00,lfalls,3450
2019-11-29 05:00:00,lfalls,3560
2019-11-29 06:00:00,lfalls,3620
2019-11-29 07:00:00,lfalls,3380
2019-11-29 08:00:00,lfalls,3550
2019-11-29 09:00:00,lfalls,3430
2019-11-29 10:00:00,lfalls,3380
2019-11-29 11:00:00,lfalls,3370
2019-11-29 12:00:00,lfalls,3150
2019-11-29 13:00:00,lfalls,3420
2019-11-29 14:00:00,lfalls,3200
2019-11-29 15:00:00,lfalls,3080
2019-11-29 16:00:00,lfalls,3190
2019-11-29 17:00:00,lfalls,3080
2019-11-29 18:00:00,lfalls,3080
2019-11-29 19:00:00,lfalls,3180
2019-11-29 20:00:00,lfalls,3240
2019-11-29 21:00:00,lfalls,3230
2019-11-29 22:00:00,lfalls,3230
2019-11-29 23:00:00,lfalls,3230
2019-11-30 00:00:00,lfalls,3170
2019-11-30 01:00:00,lfalls,3280
2019-11-30 02:00:00,lfalls,3500
2019-11-30 03:00:00,lfalls,3440
2019-11-30 04:00:00,lfalls,3380
2019-11-30 05:00:00,lfalls,3320
2019-11-30 06:00:00,lfalls,3210
2019-11-30 07:00:00,lfalls,3430
2019-11-30 08:00:00,lfalls,3200
2019-11-30 09:00:00,lfalls,3140
2019-11-30 10:00:00,lfalls,3030
2019-11-30 11:00:00,lfalls,3140
2019-11-30 12:00:00,lfalls,3140
2019-11-30 13:00:00,lfalls,3130
2019-11-30 14:00:00,lfalls,3020
2019-11-30 15:00:00,lfalls,2910
2019-11-30 16:00:00,lfalls,3070
2019-11-30 17:00:00,lfalls,2960
2019-11-30 18:00:00,lfalls,3010
2019-11-30 19:00:00,lfalls,3060
2019-11-30 20:00:00,lfalls,3010
2019-11-30 21:00:00,lfalls,2900
2019-11-30 22:00:00,lfalls,2950
2019-11-30 23:00:00,lfalls,3000
2019-12-01 00:00:00,lfalls,2890
2019-12-01 01:00:00,lfalls,3320
2019-12-01 02:00:00,lfalls,2990
2019-12-01 03:00:00,lfalls,2830
2019-12-01 04:00:00,lfalls,3480
2019-12-01 05:00:00,lfalls,2930
2019-12-01 06:00:00,lfalls,3200
2019-12-01 07:00:00,lfalls,3140
2019-12-01 08:00:00,lfalls,3240
2019-12-01 09:00:00,lfalls,3300
2019-12-01 10:00:00,lfalls,2910
2019-12-01 11:00:00,lfalls,3400
2019-12-01 12:00:00,lfalls,3570
2019-12-01 13:00:00,lfalls,3570
2019-12-01 14:00:00,lfalls,3340
2019-12-01 15:00:00,lfalls,3340
2019-12-01 16:00:00,lfalls,3170
2019-12-01 17:00:00,lfalls,3560
2019-12-01 18:00:00,lfalls,3160
2019-12-01 19:00:00,lfalls,3160
2019-12-01 20:00:00,lfalls,3100
2019-12-01 21:00:00,lfalls,3100
2019-12-01 22:00:00,lfalls,3320
2019-12-01 23:00:00,lfalls,3900
2019-12-02 00:00:00,lfalls,3710
2019-12-02 01:00:00,lfalls,3890
2019-12-02 02:00:00,lfalls,3190
2019-12-02 03:00:00,lfalls,3700
2019-12-02 04:00:00,lfalls,3410
2019-12-02 05:00:00,lfalls,3410
2019-12-02 06:00:00,lfalls,3350
2019-12-02 07:00:00,lfalls,3400
2019-12-02 08:00:00,lfalls,3630
2019-12-02 09:00:00,lfalls,3230
