date,lfalls,seneca,goose,mon_jug,por,shen_mill,antietam,opequon,conoco,hanc,cacapon,sideling,paw,town,sbr,patterson,nbp_cumb,wills,luke,barnum,bloomington,kitzmiller,barton,jrr_level,sav_level,edwards_level,bennett,unity,cattail,hawlings,cedar
2019-11-27 00:00:00,3860,106,77.7,579,2660,779,171,87.6,225,781,97,5.03,686,15.2,214,18.5,294,54.5,229,167,49.2,94.4,7.01,1424.5,1424.38,3.59,30,18.8,19,18.8,50.9
2019-11-27 01:00:00,3920,108,77.7,569,2660,779,169,86.3,223,781,97,5.03,686,15.2,214,18.5,294,54.5,229,167,49.2,94.4,7.01,1424.49,1424.36,3.59,30,18.8,19,18.8,50.9
2019-11-27 02:00:00,3860,111,77.7,564,2660,787,171,86.3,223,781,97,5.03,686,15.2,214,18.5,294,54.5,229,167,49.2,94.4,6.63,1424.5,1424.34,3.58,30,18.8,19,18.8,49.5
2019-11-27 03:00:00,3800,106,77.7,559,2660,803,169,86.3,220,781,97,5.03,686,15.2,214,18.5,288,54.5,229,167,49.2,94.4,6.63,1424.46,1424.33,3.58,30,18.8,19,18.8,49.5
2019-11-27 04:00:00,3740,106,77.7,554,2630,819,169,85.1,223,781,97,5.03,686,14.6,218,18.5,288,54.5,229,167,49.2,92.5,6.63,1424.57,1424.3,3.58,30,19.5,19,18.8,49.5
2019-11-27 05:00:00,3680,102,73.6,544,2610,852,169,83.8,220,789,97,5.03,680,14.6,218,18.5,288,53.2,229,167,49.2,92.5,6.63,1424.43,1424.29,3.57,28.7,19.5,18.5,17.9,50.9
2019-11-27 06:00:00,3680,99.5,73.6,539,2610,878,166,82.6,220,789,97,5.03,680,14.6,218,18.5,288,53.2,232,170,49.2,92.5,6.63,1424.59,1424.28,3.57,28.7,19.5,19,17.9,50.9
2019-11-27 07:00:00,3680,95.3,73.6,534,2590,921,166,81.4,217,789,97,5.03,680,14.6,221,18.5,294,54.5,229,167,49.2,92.5,6.63,1424.47,1424.26,3.56,28.7,19.5,18.5,17.9,50.9
2019-11-27 08:00:00,3570,93.3,73.6,529,2560,1120,166,82.6,217,789,97,5.03,680,14.6,221,18.5,294,54.5,232,167,49.2,92.5,6.63,1424.52,1424.24,3.56,28.7,19.5,18.5,17.9,50.9
2019-11-27 09:00:00,3570,91.3,73.6,529,2540,1070,163,83.8,214,789,97,5.03,680,14.6,221,18.5,288,54.5,229,167,44.8,92.5,6.63,1424.61,1424.23,3.56,28.7,19.5,18.5,17.9,49.5
2019-11-27 10:00:00,3570,91.3,71.6,524,2540,1060,163,85.1,214,789,97,5.03,680,14.6,221,18.5,288,54.5,229,167,42.4,92.5,6.63,1424.6,1424.22,3.54,28.7,19.5,18.5,17.9,49.5
2019-11-27 11:00:00,3510,93.3,71.6,515,2520,1060,163,86.3,211,789,97,5.29,680,14.6,221,18.5,288,54.5,232,167,42.4,90.6,6.63,1424.6,1424.21,3.54,28.7,19.5,18.5,17.9,49.5
2019-11-27 12:00:00,3450,95.3,71.6,519,2500,1050,163,85.1,211,789,97,5.29,674,14.6,221,18.5,288,53.2,229,167,42.4,90.6,6.63,1424.57,1424.19,3.53,28.7,19.5,18.5,17.1,49.5
