"","V1","DateTime","site","flow"
"1",1,"2019-10-07 00:00:00","FW",107.69
"2",2,"2019-10-07 01:00:00","FW",107.69
"3",3,"2019-10-07 02:00:00","FW",107.69
"4",4,"2019-10-07 03:00:00","FW",107.69
"5",5,"2019-10-07 04:00:00","FW",107.69
"6",6,"2019-10-07 05:00:00","FW",107.69
"7",7,"2019-10-07 06:00:00","FW",107.69
"8",8,"2019-10-07 07:00:00","FW",107.69
"9",9,"2019-10-07 08:00:00","FW",107.69
"10",10,"2019-10-07 09:00:00","FW",107.69
"11",11,"2019-10-07 10:00:00","FW",107.69
"12",12,"2019-10-07 11:00:00","FW",107.69
"13",13,"2019-10-07 12:00:00","FW",107.69
"14",14,"2019-10-07 13:00:00","FW",107.69
"15",15,"2019-10-07 14:00:00","FW",107.69
"16",16,"2019-10-07 15:00:00","FW",107.69
"17",17,"2019-10-07 16:00:00","FW",107.69
"18",18,"2019-10-07 17:00:00","FW",107.69
"19",19,"2019-10-07 18:00:00","FW",107.69
"20",20,"2019-10-07 19:00:00","FW",107.69
"21",21,"2019-10-07 20:00:00","FW",107.69
"22",22,"2019-10-07 21:00:00","FW",107.69
"23",23,"2019-10-07 22:00:00","FW",107.69
"24",24,"2019-10-07 23:00:00","FW",107.69
"25",25,"2019-10-08 00:00:00","FW",111.99
"26",26,"2019-10-08 01:00:00","FW",111.99
"27",27,"2019-10-08 02:00:00","FW",111.99
"28",28,"2019-10-08 03:00:00","FW",111.99
"29",29,"2019-10-08 04:00:00","FW",111.99
"30",30,"2019-10-08 05:00:00","FW",111.99
"31",31,"2019-10-08 06:00:00","FW",111.99
"32",32,"2019-10-08 07:00:00","FW",111.99
"33",33,"2019-10-08 08:00:00","FW",111.99
"34",34,"2019-10-08 09:00:00","FW",111.99
"35",35,"2019-10-08 10:00:00","FW",111.99
"36",36,"2019-10-08 11:00:00","FW",111.99
"37",37,"2019-10-08 12:00:00","FW",111.99
"38",38,"2019-10-08 13:00:00","FW",111.99
"39",39,"2019-10-08 14:00:00","FW",111.99
"40",40,"2019-10-08 15:00:00","FW",111.99
"41",41,"2019-10-08 16:00:00","FW",111.99
